team,empno,name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,900001,김서연,OFF,OFF,S,S,S,S,S,S1,OFF,S,S,S,S,S,S,OFF,S1,OFF,S,S,S,S,S1,OFF,S,S,S,S,OFF,OFF,S
1,900002,이지우,OFF,OFF,D,D,D,OFF,D,D,OFF,D,D,D,D,OFF,E,N,N,OFF,OFF,OFF,E,E,E,OFF,OFF,OFF,D,D,N,N,N
1,900003,박하윤,N,N,N,OFF,OFF,D,E,E,OFF,OFF,E,E,N,N,OFF,OFF,OFF,D,D,D,D,D,OFF,E,E,E,E,OFF,OFF,OFF,E
1,900004,최서준,E,E,OFF,N,N,N,OFF,OFF,E,E,OFF,OFF,OFF,D,D,D,D,OFF,E,E,E,OFF,OFF,N,N,N,OFF,OFF,D,D,D
1,900005,정도윤,D,D,E,E,E,OFF,N,N,N,OFF,OFF,E,E,E,OFF,OFF,OFF,N,N,N,OFF,OFF,OFF,D,D,D,OFF,E,E,E,OFF
1,900006,조하은,OFF,OFF,E,E,E,E,OFF,D,D,N,N,N,OFF,OFF,D,E,E,E,OFF,OFF,N,N,N,OFF,OFF,OFF,D,D,D,HY,OFF
1,900015,송지윤,D,D,D,OFF,D,D,OFF,E,OFF,HY,OFF,N,N,OFF,OFF,D,D,E,E,E,OFF,D,D,OFF,OFF,E,N,N,N,OFF,OFF
1,900007,윤시우,E,OFF,D,D,OFF,OFF,D,OFF,D,D,OFF,E,E,OFF,N,N,N,OFF,OFF,OFF,D,D,M,D,D,OFF,OFF,HY,HY,N,N
1,900009,한예은,M,M,N,N,N,OFF,OFF,E,E,E,OFF,OFF,E,E,E,E,OFF,D,D,D,M,OFF,OFF,OFF,D,D,N,N,OFF,OFF,OFF
2,900010,오수아,OFF,OFF,D,D,D,OFF,OFF,E,E,E,E,E,OFF,N,N,N,OFF,OFF,OFF,OFF,E,E,N,N,N,OFF,OFF,D,D,D,D
2,900011,서지안,E,OFF,OFF,D,N,N,N,OFF,OFF,OFF,D,D,D,D,OFF,D,E,E,E,E,OFF,D,D,D,OFF,N,N,N,OFF,OFF,OFF
2,900012,신다은,D,D,N,N,OFF,OFF,E,HY,OFF,OFF,N,N,N,OFF,OFF,OFF,D,D,D,D,D,OFF,OFF,OFF,D,D,D,OFF,E,E,E
2,900013,권은우,OFF,OFF,OFF,HY,OFF,D,D,D,D,D,OFF,OFF,E,E,E,OFF,N,N,N,OFF,OFF,OFF,E,E,E,E,E,OFF,N,N,N
2,900014,황채원,OFF,E,E,E,E,E,OFF,N,N,N,OFF,OFF,OFF,D,D,E,OFF,OFF,HY,N,N,N,OFF,OFF,OFF,D,E,E,OFF,E,E
2,900016,전시은,N,N,OFF,OFF,D,E,OFF,D,D,D,E,OFF,OFF,N,N,N,OFF,OFF,OFF,OFF,E,E,E,E,E,OFF,D,D,E,OFF,D
3,900018,문윤서,N,N,OFF,OFF,E,N,N,OFF,OFF,E,E,E,OFF,D,D,D,D,OFF,OFF,N,N,N,OFF,OFF,OFF,D,D,E,HY,OFF,E
3,900019,양민서,OFF,D,D,HY,OFF,D,E,N,N,N,OFF,OFF,E,E,OFF,OFF,E,E,E,E,OFF,OFF,D,D,D,OFF,N,N,N,OFF,OFF
3,900020,배가은,OFF,OFF,E,E,OFF,OFF,D,D,E,OFF,D,D,D,N,N,OFF,OFF,D,D,D,D,D,OFF,N,N,N,OFF,OFF,OFF,E,E
3,900021,김소율,D,OFF,N,N,N,OFF,OFF,OFF,D,D,D,D,OFF,OFF,D,E,OFF,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,E,N,N
3,900022,이주원,OFF,OFF,OFF,D,D,E,E,E,OFF,OFF,N,N,N,OFF,OFF,M,E,N,N,N,OFF,OFF,OFF,D,E,E,OFF,D,D,D,D
3,900023,박나윤,E,E,OFF,OFF,OFF,D,D,OFF,N,N,N,OFF,OFF,E,E,OFF,D,D,D,D,D,OFF,N,N,N,OFF,OFF,OFF,D,D,HY
3,900024,최연우,N,N,OFF,OFF,E,E,E,OFF,E,E,E,OFF,D,D,M,OFF,N,N,N,OFF,OFF,OFF,D,E,E,N,N,OFF,OFF,E,OFF
3,900025,정현서,OFF,E,E,E,OFF,N,N,N,OFF,OFF,D,D,D,OFF,OFF,OFF,E,E,E,OFF,N,N,N,OFF,OFF,E,E,E,OFF,D,D
